Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -454.3330    -456.4971       2.1641   270.0
0.0500        -453.7867    -455.0231       1.2364   154.3
0.1000        -453.0982    -454.6793       1.5811   197.3
0.1500        -452.3927    -454.5081       2.1154   264.0
0.2000        -451.7699    -453.9474       2.1775   271.7
0.2500        -451.7013    -453.8671       2.1657   270.2
0.3000        -451.7955    -454.2668       2.4713   308.4
0.3500        -451.7773    -454.2857       2.5084   313.0
0.4000        -452.1477    -454.6001       2.4525   306.0
0.4500        -452.3363    -454.4535       2.1172   264.2
0.5000        -451.8132    -454.0732       2.2601   282.0
0.5500        -451.8790    -454.1351       2.2561   281.5
0.6000        -452.0731    -454.4372       2.3641   295.0
0.6500        -451.6286    -453.6304       2.0019   249.8
0.7000        -451.5681    -453.9117       2.3436   292.4
0.7500        -451.6540    -454.0386       2.3846   297.6
0.8000        -451.5610    -453.9540       2.3931   298.6
0.8500        -451.5055    -453.9846       2.4791   309.3
0.9000        -451.3492    -453.7889       2.4398   304.4
0.9500        -451.4225    -453.8577       2.4352   303.9
1.0000        -451.7334    -453.7293       1.9959   249.1
1.0500        -451.1067    -453.6350       2.5283   315.5
1.1000        -451.7240    -454.2407       2.5167   314.0
1.1500        -451.8073    -454.0888       2.2816   284.7
1.2000        -451.5597    -454.0917       2.5320   315.9
1.2500        -451.8186    -454.3047       2.4861   310.2
1.3000        -451.9519    -453.7772       1.8253   227.8
1.3500        -451.3917    -454.2339       2.8422   354.6
1.4000        -451.3240    -453.8582       2.5342   316.2
1.4500        -451.4969    -453.9165       2.4196   301.9
1.5000        -451.7858    -453.9429       2.1570   269.2
1.5500        -451.5723    -454.0841       2.5118   313.4
1.6000        -451.6378    -454.2326       2.5948   323.8
1.6500        -452.2170    -454.0262       1.8092   225.7
1.7000        -451.8389    -454.1954       2.3565   294.0
1.7500        -451.5751    -454.0019       2.4269   302.8
1.8000        -451.4868    -454.4056       2.9188   364.2
1.8500        -451.6916    -454.1096       2.4180   301.7
1.9000        -451.3852    -453.7409       2.3557   293.9
1.9500        -451.8331    -454.2504       2.4173   301.6
2.0000        -451.9034    -454.2176       2.3142   288.8
2.0500        -451.8828    -454.2759       2.3931   298.6
2.1000        -451.5502    -453.8794       2.3292   290.6
2.1500        -451.4249    -453.6739       2.2490   280.6
2.2000        -451.8530    -454.0985       2.2455   280.2
2.2500        -452.2289    -454.1469       1.9179   239.3
2.3000        -451.9624    -454.2628       2.3004   287.0
2.3500        -451.6440    -454.0913       2.4473   305.4
2.4000        -452.1202    -454.1674       2.0472   255.4
2.4500        -452.4448    -454.6297       2.1849   272.6
2.5000        -452.1083    -454.2329       2.1246   265.1
2.5500        -451.8219    -454.1977       2.3758   296.5
2.6000        -451.6351    -454.2362       2.6012   324.6
2.6500        -451.8970    -453.9839       2.0870   260.4
2.7000        -451.5716    -454.1081       2.5365   316.5
2.7500        -451.8379    -454.0079       2.1700   270.8
2.8000        -451.8664    -454.2666       2.4002   299.5
2.8500        -452.1543    -454.1981       2.0437   255.0
2.9000        -451.7596    -454.4252       2.6656   332.6
2.9500        -451.5325    -453.8879       2.3554   293.9
3.0000        -451.0548    -453.5991       2.5444   317.5
3.0500        -450.6152    -453.9357       3.3205   414.3
3.1000        -450.8395    -453.7432       2.9038   362.3
3.1500        -451.4830    -453.9362       2.4532   306.1
3.2000        -451.5976    -453.8498       2.2522   281.0
3.2500        -451.9428    -454.2665       2.3237   290.0
3.3000        -451.8447    -454.2711       2.4263   302.8
3.3500        -451.5580    -453.8024       2.2444   280.0
3.4000        -451.2360    -453.8562       2.6203   327.0
3.4500        -451.5684    -454.3620       2.7936   348.6
3.5000        -451.4516    -454.2270       2.7754   346.3
3.5500        -451.6733    -454.1595       2.4862   310.2
3.6000        -451.6671    -453.9852       2.3181   289.2
3.6500        -452.0039    -454.3882       2.3842   297.5
3.7000        -452.0178    -454.2651       2.2473   280.4
3.7500        -452.0482    -454.2719       2.2238   277.5
3.8000        -451.6932    -454.2572       2.5641   319.9
3.8500        -452.0341    -454.3841       2.3500   293.2
3.9000        -451.7923    -453.9039       2.1116   263.5
3.9500        -451.7988    -454.1036       2.3048   287.6
4.0000        -451.8926    -454.5338       2.6412   329.6
